Month,Bronx,Queens,Rockland,Westchester,Average
1,45.90967742,42.96129032,36.8,40.79354839,41.61612903
2,44.07801418,39.39007092,30.94814815,36.43262411,37.71221434
3,34.26451613,32.44516129,22.98648649,28.86451613,29.64017001
4,27.3,27.08,17.10273973,23.48666667,23.7423516
5,31.06451613,31.98709677,20.2027027,25.92258065,27.29422406
6,29.61333333,31.54,18.69230769,25.98,26.45641026
7,39.16233766,39.2516129,26.57718121,33.67741935,34.66713778
8,33.89032258,34.70967742,22.45098039,29.84328358,30.22356599
9,27.25333333,28.27333333,18.67832168,24.72666667,24.73291375
10,24.48387097,25,16.20945946,22.83870968,22.13301003
11,31.88666667,30.87333333,22.86394558,28.02,28.4109864
12,40.02580645,39.50967742,30.39041096,36.70322581,36.65728016
