Month,Manhattan,Brooklyn,Orange,Average
1,52.91612903,40.79354839,38.26623377,43.9919704
2,50.02836879,36.43262411,34.14184397,40.20094563
3,42.15483871,28.86451613,24.47368421,31.83101302
4,32.22,23.48666667,17.66442953,24.45703207
5,34.41290323,25.92258065,21.31788079,27.21778822
6,33.65333333,25.98,21.0137931,26.88237548
7,41.62580645,33.67741935,29.00662252,34.76994944
8,37.10322581,29.84328358,26.73049645,31.22566861
9,32.07333333,24.72666667,20.9020979,25.9006993
10,29.42580645,22.83870968,17.55194805,23.27215473
11,36.94,28.02,24.43243243,29.79747748
12,46.19354839,36.70322581,32.58709677,38.49462366
